person_id,pattern_width,pattern_height,bolt_width_used,cut_loss_width_used,cut_loss_area_used,efficiency_used,ideal_bolt_width,cut_loss_width_ideal,cut_loss_area_ideal,efficiency_ideal
CY008,118.0,92.5,150.0,32.0,2960.0,0.7866666666666666,120.0,2.0,185.0,0.9833333333333333
RW052,137.2,98.0,150.0,12.800000000000011,1254.400000000001,0.9146666666666666,140.0,2.8000000000000114,274.4000000000011,0.9799999999999999
AG001,125.0,78.5,150.0,25.0,1962.5,0.8333333333333334,125.0,0.0,0.0,1.0
MN075,127.0,79.5,150.0,23.0,1828.5,0.8466666666666667,130.0,3.0,238.5,0.9769230769230769
ST067,125.5,89.9,150.0,24.5,2202.55,0.8366666666666667,130.0,4.5,404.55,0.9653846153846154
PQ023,141.0,96.5,150.0,9.0,868.5,0.94,145.0,4.0,386.0,0.9724137931034482
HJ098,132.0,84.5,150.0,18.0,1521.0,0.88,135.0,3.0,253.5,0.9777777777777777
DF034,142.0,83.5,150.0,8.0,668.0,0.9466666666666667,145.0,3.0,250.5,0.9793103448275862
