Column1,B350ML22 2024-03-20_14-43-31_1.obj,B350ML22 2024-03-20_14-43-31_2.obj,B350ML22 2024-03-20_14-43-31_3.obj,B350ML22 2024-03-20_14-43-31_4.obj,B350ML22 2024-03-20_14-43-31_5.obj,Pre Process Median,Column1,B350ML22 2024-03-20_14-43-31_1-LRSnp.obj,B350ML22 2024-03-20_14-43-31_2-CFW-RAp-LRSnp.obj,B350ML22 2024-03-20_14-43-31_3-CFW-LRAp-RSh-NkAll.obj,B350ML22 2024-03-20_14-43-31_4-CFW-LRAp-RSh-NkAll.obj,B350ML22 2024-03-20_14-43-31_5-CFW-LRAp-RSh-LRSnp.obj,Median,Column1,Difference in median values processed to non processed Scan 1
T01dr_Thigh_Circ_R_Depth,17.2,17.03,17.09,17.55,17.17,17.17,T01dr_Thigh_Circ_R_Depth,17.2,17.03,17.09,17.55,17.17,17.17,T01dr_Thigh_Circ_R_Depth,0
T01wr_Thigh_Circ_R_Width,18.22,18.17,18.06,18.45,18.17,18.17,T01wr_Thigh_Circ_R_Width,18.22,18.17,18.06,18.45,18.17,18.17,T01wr_Thigh_Circ_R_Width,0
T01xw_Thigh_MidLeg_Width,18.91,18.99,19.04,19.01,18.93,18.99,T01xw_Thigh_MidLeg_Width,18.91,18.99,19.04,19.01,18.93,18.99,T01xw_Thigh_MidLeg_Width,0
T01z_Offset_Middle_R_Thigh_Z_from_Crotch_Z,6.22,6.35,6.12,6.41,6.41,6.35,T01z_Offset_Middle_R_Thigh_Z_from_Crotch_Z,6.22,6.35,6.12,6.41,6.41,6.35,T01z_Offset_Middle_R_Thigh_Z_from_Crotch_Z,0
T01xlr_Thigh_Inner_X_Width,6.79,6.97,6.87,7.6,6.7,6.87,T01xlr_Thigh_Inner_X_Width,6.79,6.97,6.87,7.6,6.7,6.87,T01xlr_Thigh_Inner_X_Width,0
M01cl_Mid_Thigh_Circ_L_046cl,41.33,40.85,40.68,43.28,41.06,41.06,M01cl_Mid_Thigh_Circ_L_046cl,41.33,40.85,40.68,43.28,41.06,41.06,M01cl_Mid_Thigh_Circ_L_046cl,0
M01hl_Mid_Thigh_Circ_Height_L_046hl,59.43,59.04,58.87,60.89,59.08,59.08,M01hl_Mid_Thigh_Circ_Height_L_046hl,59.43,59.04,58.87,60.89,59.08,59.08,M01hl_Mid_Thigh_Circ_Height_L_046hl,0
M01dl_Mid_Thigh_Circ_L_Depth,14.2,14.09,14.04,14.74,14.09,14.09,M01dl_Mid_Thigh_Circ_L_Depth,14.2,14.09,14.04,14.74,14.09,14.09,M01dl_Mid_Thigh_Circ_L_Depth,0
M01wl_Mid_Thigh_Circ_L_Width,12.78,12.6,12.52,13.28,12.75,12.75,M01wl_Mid_Thigh_Circ_L_Width,12.78,12.6,12.52,13.28,12.75,12.75,M01wl_Mid_Thigh_Circ_L_Width,0
M01cr_Mid_Thigh_Circ_R_047cr,43.15,43.24,42.97,45.41,43.29,43.24,M01cr_Mid_Thigh_Circ_R_047cr,43.15,43.24,42.97,45.41,43.29,43.24,M01cr_Mid_Thigh_Circ_R_047cr,0
M01hr_Mid_Thigh_Circ_Height_R_047hr,59.05,59.04,58.87,60.38,59.08,59.05,M01hr_Mid_Thigh_Circ_Height_R_047hr,59.05,59.04,58.87,60.38,59.08,59.05,M01hr_Mid_Thigh_Circ_Height_R_047hr,0
M01dr_Mid_Thigh_Circ_R_Depth,14.15,14.11,14.13,14.86,14.23,14.15,M01dr_Mid_Thigh_Circ_R_Depth,14.15,14.11,14.13,14.86,14.23,14.15,M01dr_Mid_Thigh_Circ_R_Depth,0
M01wr_Mid_Thigh_Circ_R_Width,13.28,13.37,13.34,13.89,13.3,13.34,M01wr_Mid_Thigh_Circ_R_Width,13.28,13.37,13.34,13.89,13.3,13.34,M01wr_Mid_Thigh_Circ_R_Width,0
M01xw_Mid_Thigh_MidLeg_Width,20.86,20.96,21.02,20.75,20.91,20.91,M01xw_Mid_Thigh_MidLeg_Width,20.86,20.96,21.02,20.75,20.91,20.91,M01xw_Mid_Thigh_MidLeg_Width,0
K01cl_Knee_Circ_L_048cl,36.08,36.46,36.25,36.62,36.43,36.43,K01cl_Knee_Circ_L_048cl,36.08,36.46,36.25,36.62,36.43,36.43,K01cl_Knee_Circ_L_048cl,0
K01hl -Knee Circ Height L- 048hl,46.98,46.22,46.14,48.15,46.28,46.28,K01hl -Knee Circ Height L- 048hl,46.98,46.22,46.14,48.15,46.28,46.28,K01hl -Knee Circ Height L- 048hl,0
K01dl_Knee_Circ_L_Depth,12.2,12.06,11.92,12.46,12.08,12.08,K01dl_Knee_Circ_L_Depth,12.2,12.06,11.92,12.46,12.08,12.08,K01dl_Knee_Circ_L_Depth,0
K01wl_Knee_Circ_L_Width,11.66,11.99,11.98,11.93,11.88,11.93,K01wl_Knee_Circ_L_Width,11.66,11.99,11.98,11.93,11.88,11.93,K01wl_Knee_Circ_L_Width,0
K01cr_Knee_Circ_R_049cr,36.11,36.26,36.04,37.46,36.12,36.12,K01cr_Knee_Circ_R_049cr,36.11,36.26,36.04,37.46,36.12,36.12,K01cr_Knee_Circ_R_049cr,0
K01hr_Knee_Circ_Height_R_049hr,46.22,46.22,46.14,47.12,46.28,46.22,K01hr_Knee_Circ_Height_R_049hr,46.22,46.22,46.14,47.12,46.28,46.22,K01hr_Knee_Circ_Height_R_049hr,0
K01dr_Knee_Circ_R_Depth,11.76,11.87,11.77,12.09,11.71,11.77,K01dr_Knee_Circ_R_Depth,11.76,11.87,11.77,12.09,11.71,11.77,K01dr_Knee_Circ_R_Depth,0
K01wr_Knee_Circ_R_Width,11.53,11.6,11.47,12.11,11.58,11.58,K01wr_Knee_Circ_R_Width,11.53,11.6,11.47,12.11,11.58,11.58,K01wr_Knee_Circ_R_Width,0
K01xw_Knee_MidLeg_Width,24.73,24.77,24.8,24.05,24.7,24.73,K01xw_Knee_MidLeg_Width,24.73,24.77,24.8,24.05,24.7,24.73,K01xw_Knee_MidLeg_Width,0
K10cl_UnderKnee_Circ_L_050cl,36.08,36.34,36.35,36.12,36.37,36.34,K10cl_UnderKnee_Circ_L_050cl,36.08,36.34,36.35,36.12,36.37,36.34,K10cl_UnderKnee_Circ_L_050cl,0
K10hl_UnderKnee_Circ_Height_L_050hl,46.99,40.91,46.15,46.86,46.31,46.31,K10hl_UnderKnee_Circ_Height_L_050hl,46.99,40.91,46.15,46.86,46.31,46.31,K10hl_UnderKnee_Circ_Height_L_050hl,0
K10dl_UnderKnee_Circ_L_Depth,11.72,11.86,11.47,12.3,11.54,11.72,K10dl_UnderKnee_Circ_L_Depth,11.72,11.86,11.47,12.3,11.54,11.72,K10dl_UnderKnee_Circ_L_Depth,0
K10wl_UnderKnee_Circ_L_Width,11.72,10.93,12.04,11.79,11.99,11.79,K10wl_UnderKnee_Circ_L_Width,11.72,10.93,12.04,11.79,11.99,11.79,K10wl_UnderKnee_Circ_L_Width,0
K10cr_UnderKnee_Circ_R_051cr,35.53,35.55,35.46,35.83,35.63,35.55,K10cr_UnderKnee_Circ_R_051cr,35.53,35.55,35.46,35.83,35.63,35.55,K10cr_UnderKnee_Circ_R_051cr,0
K10hr_UnderKnee_Circ_Height_R_051hr,42.43,43.12,42.83,43.27,43.2,43.12,K10hr_UnderKnee_Circ_Height_R_051hr,42.43,43.12,42.83,43.27,43.2,43.12,K10hr_UnderKnee_Circ_Height_R_051hr,0
K10dr_UnderKnee_Circ_R_Depth,11.43,11.69,11.61,11.41,11.62,11.61,K10dr_UnderKnee_Circ_R_Depth,11.43,11.69,11.61,11.41,11.62,11.61,K10dr_UnderKnee_Circ_R_Depth,0
K10wr_UnderKnee_Circ_R_Width,11,11.06,11.03,11.14,11.05,11.05,K10wr_UnderKnee_Circ_R_Width,11,11.06,11.03,11.14,11.05,11.05,K10wr_UnderKnee_Circ_R_Width,0
K10xw_UnderKnee_MidLeg_Width,25.89,27.53,25.86,25.77,25.7,25.86,K10xw_UnderKnee_MidLeg_Width,25.89,27.53,25.86,25.77,25.7,25.86,K10xw_UnderKnee_MidLeg_Width,0
C20cl_Calf_Circ_L_054cl,37.25,36.88,36.88,36.92,37,36.92,C20cl_Calf_Circ_L_054cl,37.25,36.88,36.88,36.92,37,36.92,C20cl_Calf_Circ_L_054cl,0
C20hl_Calf_Circ_Height_L_054hl,38.04,38.55,38.51,38.91,37.91,38.51,C20hl_Calf_Circ_Height_L_054hl,38.04,38.55,38.51,38.91,37.91,38.51,C20hl_Calf_Circ_Height_L_054hl,0
C20dl_Calf_Circ_L_Depth,11.96,12.08,12.04,12.11,12.21,12.08,C20dl_Calf_Circ_L_Depth,11.96,12.08,12.04,12.11,12.21,12.08,C20dl_Calf_Circ_L_Depth,0
C20wl_Calf_Circ_L_Width,11.32,11.04,11.09,11.11,11.09,11.09,C20wl_Calf_Circ_L_Width,11.32,11.04,11.09,11.11,11.09,11.09,C20wl_Calf_Circ_L_Width,0
C20cr_Calf_Circ_R_055cr,36.64,36.71,36.71,37.01,36.84,36.71,C20cr_Calf_Circ_R_055cr,36.64,36.71,36.71,37.01,36.84,36.71,C20cr_Calf_Circ_R_055cr,0
C20hr_Calf_Circ_Height_R_055hr,36.41,35.34,35.32,35.95,35.41,35.41,C20hr_Calf_Circ_Height_R_055hr,36.41,35.34,35.32,35.95,35.41,35.41,C20hr_Calf_Circ_Height_R_055hr,0
C20dr_Calf_Circ_R_Depth,12.06,12.12,12.07,11.95,12.11,12.07,C20dr_Calf_Circ_R_Depth,12.06,12.12,12.07,11.95,12.11,12.07,C20dr_Calf_Circ_R_Depth,0
C20wr_Calf_Circ_R_Width,11.47,11.41,11.43,11.5,11.39,11.43,C20wr_Calf_Circ_R_Width,11.47,11.41,11.43,11.5,11.39,11.43,C20wr_Calf_Circ_R_Width,0
C20xw_Calf_MidLeg_Width,28.7,28.81,28.74,28.72,28.88,28.74,C20xw_Calf_MidLeg_Width,28.7,28.81,28.74,28.72,28.88,28.74,C20xw_Calf_MidLeg_Width,0
A20cl_Min_Leg_Circ_L_056cl,21.2,21.53,21.47,21.52,21.2,21.47,A20cl_Min_Leg_Circ_L_056cl,21.2,21.53,21.47,21.52,21.2,21.47,A20cl_Min_Leg_Circ_L_056cl,0
A20hl_Min_Leg_Circ_Height_L_056hl,11.43,11.46,14.55,14.49,11.57,11.57,A20hl_Min_Leg_Circ_Height_L_056hl,11.43,11.46,14.55,14.49,11.57,11.57,A20hl_Min_Leg_Circ_Height_L_056hl,0
A20cr_Min_Leg_Circ_R_057cr,22.23,22.18,22.05,22.37,22.27,22.23,A20cr_Min_Leg_Circ_R_057cr,22.23,22.18,22.05,22.37,22.27,22.23,A20cr_Min_Leg_Circ_R_057cr,0
A20hr_Min_Leg_Circ_Height_R_057hr,11.43,11.46,11.55,14.16,14.22,11.55,A20hr_Min_Leg_Circ_Height_R_057hr,11.43,11.46,11.55,14.16,14.22,11.55,A20hr_Min_Leg_Circ_Height_R_057hr,0
A10cl_Ankle_Circ_L_091cl,21.04,21.29,21.32,21.31,21.03,21.29,A10cl_Ankle_Circ_L_091cl,21.04,21.29,21.32,21.31,21.03,21.29,A10cl_Ankle_Circ_L_091cl,0
A10hl_Ankle_Circ_Height_L_091hl,11.43,11.45,11.54,11.4,11.54,11.45,A10hl_Ankle_Circ_Height_L_091hl,11.43,11.45,11.54,11.4,11.54,11.45,A10hl_Ankle_Circ_Height_L_091hl,0
A10dl_Ankle_Circ_L_Depth,8.33,8.42,8.55,8.46,8.27,8.42,A10dl_Ankle_Circ_L_Depth,8.33,8.42,8.55,8.46,8.27,8.42,A10dl_Ankle_Circ_L_Depth,0
A10wl_Ankle_Circ_L_Width,4.97,4.99,4.98,4.95,4.94,4.97,A10wl_Ankle_Circ_L_Width,4.97,4.99,4.98,4.95,4.94,4.97,A10wl_Ankle_Circ_L_Width,0
A10cr_Ankle_Circ_R_092cr,21.96,21.88,21.72,22.1,22.09,21.96,A10cr_Ankle_Circ_R_092cr,21.96,21.88,21.72,22.1,22.09,21.96,A10cr_Ankle_Circ_R_092cr,0
A10hr_Ankle_Circ_Height_R_092hr,11.43,11.45,11.54,11.4,11.54,11.45,A10hr_Ankle_Circ_Height_R_092hr,11.43,11.45,11.54,11.4,11.54,11.45,A10hr_Ankle_Circ_Height_R_092hr,0
A10dr_Ankle_Circ_R_Depth,8.12,8.22,8.15,8.44,8.23,8.22,A10dr_Ankle_Circ_R_Depth,8.12,8.22,8.15,8.44,8.23,8.22,A10dr_Ankle_Circ_R_Depth,0
A10wr_Ankle_Circ_R_Width,5.38,5.37,5.39,5.48,5.51,5.39,A10wr_Ankle_Circ_R_Width,5.38,5.37,5.39,5.48,5.51,5.39,A10wr_Ankle_Circ_R_Width,0
A10xw_Ankle_Midleg_Width,31.54,31.51,31.45,31.52,31.48,31.51,A10xw_Ankle_Midleg_Width,31.54,31.51,31.45,31.52,31.48,31.51,A10xw_Ankle_Midleg_Width,0
A10xw1_Inner_Ankle_Width,26.36,26.33,26.26,26.31,26.26,26.31,A10xw1_Inner_Ankle_Width,26.36,26.33,26.26,26.31,26.26,26.31,A10xw1_Inner_Ankle_Width,0
A40cl_Arm_Circ_at_Uarm_Circ_L,31.44,32.54,32.53,31.8,31.43,31.8,A40cl_Arm_Circ_at_Uarm_Circ_L,31.44,32.54,31.79,31.15,34.61,31.79,A40cl_Arm_Circ_at_Uarm_Circ_L,-0.01
A40cr_Arm_Circ_at_UArm_Circ_R,31.01,32.1,32.68,32.69,32.97,32.68,A40cr_Arm_Circ_at_UArm_Circ_R,31.01,31.99,32.18,31.74,33.64,31.99,A40cr_Arm_Circ_at_UArm_Circ_R,-0.69
B20cl_Bicep_Circ_L,31.96,32.51,31.93,32.03,32.23,32.03,B20cl_Bicep_Circ_L,31.96,32.51,31.97,32.22,32.58,32.22,B20cl_Bicep_Circ_L,0.19
B20cr_Bicep_Circ_R,32.17,33.08,32.48,32.76,33.1,32.76,B20cr_Bicep_Circ_R,32.17,33.18,32.57,32.75,32.94,32.75,B20cr_Bicep_Circ_R,-0.01
E01cl_Elbow_Circ_L,29.42,28.76,29.58,29.11,29.06,29.11,E01cl_Elbow_Circ_L,29.42,28.76,29.57,29.03,28.86,29.03,E01cl_Elbow_Circ_L,-0.08
E01hl_Elbow_Circ_Height_L,107.69,109.28,108,108.79,109.49,108.79,E01hl_Elbow_Circ_Height_L,107.69,109.28,108.12,108.94,109.84,108.94,E01hl_Elbow_Circ_Height_L,0.15
E01cr_Elbow_Circ_R,29.7,29.45,29.47,29.47,29.55,29.47,E01cr_Elbow_Circ_R,29.7,29.62,29.45,29.57,29.5,29.57,E01cr_Elbow_Circ_R,0.1
E01hr_Elbow_Circ_Height_R,107.6,109.21,108.84,107.1,109.16,108.84,E01hr_Elbow_Circ_Height_R,107.6,108.69,108.91,107.41,109.31,108.69,E01hr_Elbow_Circ_Height_R,-0.15
F01cl_Forearm_Circ_L,28.18,28.56,28.55,28.54,28.62,28.55,F01cl_Forearm_Circ_L,28.18,28.56,28.57,28.54,28.63,28.56,F01cl_Forearm_Circ_L,0.01
F01cr_Forearm_Circ_R,28.08,28.32,28.02,27.7,28.26,28.08,F01cr_Forearm_Circ_R,28.08,28.2,28.05,27.79,28.33,28.08,F01cr_Forearm_Circ_R,0
W10cl_Wrist_Circ_L_093,16.7,16.42,16.76,16.28,16.55,16.55,W10cl_Wrist_Circ_L_093,16.7,16.42,16.75,16.27,16.54,16.54,W10cl_Wrist_Circ_L_093,-0.01
W10cr_Wrist_Circ_R_094,15,14.94,14.75,16.85,15.04,15,W10cr_Wrist_Circ_R_094,15,14.95,14.75,16.99,15.04,15,W10cr_Wrist_Circ_R_094,0
A50cl_Arm_Circ_Outer_L,45.71,47.56,47.24,46.59,46.25,46.59,A50cl_Arm_Circ_Outer_L,45.71,47.56,47.47,48.23,46.74,47.47,A50cl_Arm_Circ_Outer_L,0.88
A50cr_Arm_Circ_Outer_R,47.18,50.46,48.49,49.05,49.37,49.05,A50cr_Arm_Circ_Outer_R,47.18,47.14,46.92,45.64,47.21,47.14,A50cr_Arm_Circ_Outer_R,-1.91
A51cl_Arm_Circ_L,51.41,54.26,53.39,54.05,51.06,53.39,A51cl_Arm_Circ_L,51.41,54.26,50.41,51.29,47.88,51.29,A51cl_Arm_Circ_L,-2.1
A51cr_Arm_Circ_R,53.67,36.82,52.68,53.43,53.58,53.43,A51cr_Arm_Circ_R,53.67,49.89,49.2,49.31,49.38,49.38,A51cr_Arm_Circ_R,-4.05
S11ll_Shoulder_Length_L,12.72,12.91,12.5,12.97,11.41,12.72,S11ll_Shoulder_Length_L,13.95,12.52,14.08,13.44,12.27,13.44,S11ll_Shoulder_Length_L,0.72
S11hl_Shoulder_Height_L,141.26,141.67,141.31,141.08,141.98,141.31,S11hl_Shoulder_Height_L,141.26,141.67,141.31,141.08,141.98,141.31,S11hl_Shoulder_Height_L,0
S11rl_Shoulder_Length_R,12.82,12.63,11.52,13.29,11.63,12.63,S11rl_Shoulder_Length_R,14.78,13.2,13.35,14.49,13.39,13.39,S11rl_Shoulder_Length_R,0.76
S11hr_Shoulder_Height_R,140.89,140.94,141.54,140.02,141.97,140.94,S11hr_Shoulder_Height_R,140.89,140.94,141.02,140.38,141.47,140.94,S11hr_Shoulder_Height_R,0
S11w_Shoulder_Width_Straight,39.14,38.38,37.81,39.82,36.37,38.38,S11w_Shoulder_Width_Straight,39.14,38.38,38.68,39.39,37.21,38.68,S11w_Shoulder_Width_Straight,0.3
S11f_Shoulder_Width_Horz_Fr_Arc_147,42.11,41.88,40.68,43.65,39.18,41.88,S11f_Shoulder_Width_Horz_Fr_Arc_147,42.11,41.88,41.82,43.13,40.07,41.88,S11f_Shoulder_Width_Horz_Fr_Arc_147,0
S11b_Shoulder_Width_Horz_Bk_Arc_002,47.56,46.03,46.64,48.1,44,46.64,S11b_Shoulder_Width_Horz_Bk_Arc_002,47.56,46.03,47.41,47.53,45.1,47.41,S11b_Shoulder_Width_Horz_Bk_Arc_002,0.77
S11c_Shoulder_Circ,89.67,87.91,87.32,91.75,83.18,87.91,S11c_Shoulder_Circ,89.67,87.91,89.22,90.66,85.18,89.22,S11c_Shoulder_Circ,1.31
S11c1_Shoulder_Circ,88.47,85.16,88.09,88.32,82.98,88.09,S11c1_Shoulder_Circ,88.47,85.16,88.09,88.32,82.98,88.09,S11c1_Shoulder_Circ,0
S12w_Shoulder_Width_Bk_through_CB_Nk,43.32,42.01,41.75,44.01,39.87,42.01,S12w_Shoulder_Width_Bk_through_CB_Nk,43.32,42.01,42.69,43.67,40.9,42.69,S12w_Shoulder_Width_Bk_through_CB_Nk,0.68
N11l_Fr_L_Bust_Level_to_L_Snp_to_Back_L_Bust_Level,47.93,51.97,53.65,53.18,53.23,53.18,N11l_Fr_L_Bust_Level_to_L_Snp_to_Back_L_Bust_Level,48.25,51.38,53.02,52.93,53.45,52.93,N11l_Fr_L_Bust_Level_to_L_Snp_to_Back_L_Bust_Level,-0.25
N11r_Fr_R_Bust_Level_to_R_Snp_to_Back_R_Bust_Level,47.25,50.74,53.4,51.73,53.14,51.73,N11r_Fr_R_Bust_Level_to_R_Snp_to_Back_R_Bust_Level,48.22,50.32,52.24,52.54,53.45,52.24,N11r_Fr_R_Bust_Level_to_R_Snp_to_Back_R_Bust_Level,0.51
N11l1_Snp_L_to_Bust_L,21.82,24.41,24.24,24.56,24.38,24.38,N11l1_Snp_L_to_Bust_L,22.34,24.85,26.37,26.61,26.62,26.37,N11l1_Snp_L_to_Bust_L,1.99
N11r1_Snp_R_to_Bust_R,18.75,20.21,22.39,21.87,24.09,21.87,N11r1_Snp_R_to_Bust_R,23.39,24.17,24.94,25.71,25.84,24.94,N11r1_Snp_R_to_Bust_R,3.07
X01f_X_Fr_Arc_087,38.78,44.04,39.57,40.18,39.36,39.57,X01f_X_Fr_Arc_087,38.78,39.67,38.62,39.66,37.95,38.78,X01f_X_Fr_Arc_087,-0.79
X01b_X_Bk_Arc_088,39.8,38.74,38.74,39.04,37.54,38.74,X01b_X_Bk_Arc_088,39.8,38.51,33.97,33.63,32.19,33.97,X01b_X_Bk_Arc_088,-4.77
C30yh_Chin_Height_128,148.66,148.65,148.63,148.67,148.94,148.66,C30yh_Chin_Height_128,148.66,148.65,148.9,148.75,148.69,148.69,C30yh_Chin_Height_128,0.03
A60ll_Arm_Length_L_015,58.26,58.11,58.21,57.37,58.8,58.21,A60ll_Arm_Length_L_015,58.26,58.11,58.2,57.35,58.8,58.2,A60ll_Arm_Length_L_015,-0.01
A60lr_Arm_Length_R_016,56.74,56.97,57.48,57.6,58.86,57.48,A60lr_Arm_Length_R_016,56.74,56.96,55.67,57.55,57.96,56.96,A60lr_Arm_Length_R_016,-0.52
A60ll1_Underarm_Length_L,43.09,42.41,43.72,42.37,42.76,42.76,A60ll1_Underarm_Length_L,43.09,42.41,44.12,42.85,43.97,43.09,A60ll1_Underarm_Length_L,0.33
A60lr1_Underarm_Length_R,42.18,39.49,41.84,41.94,42.58,41.94,A60lr1_Underarm_Length_R,42.18,41.61,42.86,44.03,43.85,42.86,A60lr1_Underarm_Length_R,0.92
A61ll_Sleeve_Length_L,77.39,76.47,77.67,76.48,76.14,76.48,A61ll_Sleeve_Length_L,77.39,76.47,77.31,76.51,76.51,76.51,A61ll_Sleeve_Length_L,0.03
A61lr_Sleeve_Length_R,77.4,76.62,76.33,77.83,77.46,77.4,A61lr_Sleeve_Length_R,77.4,76.68,76.86,78.36,77.27,77.27,A61lr_Sleeve_Length_R,-0.13
N12y1_CB_Nk_to_Waist,40.94,39.36,38.94,38.69,40.18,39.36,N12y1_CB_Nk_to_Waist,40.94,39.36,39.05,40.07,40.13,40.07,N12y1_CB_Nk_to_Waist,0.71
N12y2_CB_Nk_to_Armscye_Ave,23.44,22.23,22.29,24.5,22.48,22.48,N12y2_CB_Nk_to_Armscye_Ave,23.44,22.09,21.14,22.31,21.05,22.09,N12y2_CB_Nk_to_Armscye_Ave,-0.39
N12y3_CB_Nk_to_Bust_Bk,21.47,22.05,23.57,22.97,23.96,22.97,N12y3_CB_Nk_to_Bust_Bk,21.47,22.05,23.09,24.41,24.04,23.09,N12y3_CB_Nk_to_Bust_Bk,0.12
N12y4_CB_Nk_to_Blades,19.47,19.41,19.58,19.33,19.61,19.47,N12y4_CB_Nk_to_Blades,19.47,19.43,19.61,19.5,19.63,19.5,N12y4_CB_Nk_to_Blades,0.03
