Column1,B350ML22 2024-03-20_14-43-31_1.obj,B350ML22 2024-03-20_14-43-31_2.obj,B350ML22 2024-03-20_14-43-31_3.obj,B350ML22 2024-03-20_14-43-31_4.obj,B350ML22 2024-03-20_14-43-31_5.obj,Pre Process Median,Column1,B350ML22 2024-03-20_14-43-31_1-LRSnp.obj,B350ML22 2024-03-20_14-43-31_2-CFW-RAp-LRSnp.obj,B350ML22 2024-03-20_14-43-31_3-CFW-LRAp-RSh-NkAll.obj,B350ML22 2024-03-20_14-43-31_4-CFW-LRAp-RSh-NkAll.obj,B350ML22 2024-03-20_14-43-31_5-CFW-LRAp-RSh-LRSnp.obj,Median,Column1,Difference in median values processed to non processed Scan 1
B01d_ChestBust_Circ_Depth_072d,21.95,22.03,21.71,21.68,22.03,21.95,B01d_ChestBust_Circ_Depth_072d,21.95,22.03,21.99,21.67,22.01,21.99,B01d_ChestBust_Circ_Depth_072d,0.04
B01w_ChestBust_Circ_Width_072w,33.19,32.28,31.64,31.81,31.76,31.81,B01w_ChestBust_Circ_Width_072w,33.19,32.27,32.22,31.7,31.68,32.22,B01w_ChestBust_Circ_Width_072w,0.41
B01h_ChestBust_Circ_Height_072h,127.8,126.01,124.78,125.15,125.12,125.15,B01h_ChestBust_Circ_Height_072h,127.8,126.01,125.36,125.09,125.01,125.36,B01h_ChestBust_Circ_Height_072h,0.21
B01dl_ChestBust_Circ_Depth_L_072dl,22.81,22.96,21.76,22.47,22.59,22.59,B01dl_ChestBust_Circ_Depth_L_072dl,22.02,22.31,22.39,22.42,22.52,22.39,B01dl_ChestBust_Circ_Depth_L_072dl,-0.2
B01fw1_Bust_Width_1,16,14.95,19.77,16.41,13.73,16,B01fw1_Bust_Width_1,15.67,16.32,14.45,14.74,15.7,15.67,B01fw1_Bust_Width_1,-0.33
B01fw2_Bust_Width_2,20.8,20.6,21.4,21.4,20.9,20.9,B01fw2_Bust_Width_2,20.8,20.6,20.2,21.4,20.8,20.8,B01fw2_Bust_Width_2,-0.1
C01c_Chest_at_Uarm,98.59,98.41,97.87,96.58,98.51,98.41,C01c_Chest_at_Uarm,98.59,98.37,100.56,99.56,99.49,99.49,C01c_Chest_at_Uarm,1.08
C01f_Chest_at_Uarm_Fr_Arc,49.9,49.73,48.57,49.23,49.78,49.73,C01f_Chest_at_Uarm_Fr_Arc,49.9,49.57,50.08,49.96,49.98,49.96,C01f_Chest_at_Uarm_Fr_Arc,0.23
C01b_Chest_at_Uarm_Bk_Arc,48.53,48.53,48.76,47.36,48.3,48.53,C01b_Chest_at_Uarm_Bk_Arc,48.53,48.85,50.56,49.34,49.33,49.33,C01b_Chest_at_Uarm_Bk_Arc,0.8
C01xly_Underarm_Height_L,126.96,127.03,126.23,126.71,127.53,126.96,C01xly_Underarm_Height_L,126.96,127.03,128.03,127.61,129.16,127.61,C01xly_Underarm_Height_L,0.65
C01xry_Underarm_Height_R,126.27,126.31,126.56,124.13,127.1,126.31,C01xry_Underarm_Height_R,126.27,126.45,127.82,127.69,128.48,127.69,C01xry_Underarm_Height_R,1.38
U01c_UnderBust_Circ_TM_075c,98.84,91.56,91.84,92.72,91.91,91.91,U01c_UnderBust_Circ_TM_075c,98.84,91.56,91.96,92.32,91.67,91.96,U01c_UnderBust_Circ_TM_075c,0.05
U01f_UnderBust_Circ_Fr_Arc_075f,49.84,46.06,45.76,46.98,46.17,46.17,U01f_UnderBust_Circ_Fr_Arc_075f,49.84,46.06,45.14,45.94,45.93,45.94,U01f_UnderBust_Circ_Fr_Arc_075f,-0.23
U01b_UnderBust_Circ_Bk_Arc_075b,48.92,45.45,46.01,45.67,45.68,45.68,U01b_UnderBust_Circ_Bk_Arc_075b,48.92,45.45,46.76,46.29,45.68,46.29,U01b_UnderBust_Circ_Bk_Arc_075b,0.61
U01d_UnderBust_Circ_Depth_075d,22.13,21.07,21.24,21.36,21.52,21.36,U01d_UnderBust_Circ_Depth_075d,22.13,21.07,21.26,21.5,21.48,21.48,U01d_UnderBust_Circ_Depth_075d,0.12
U01w_UnderBust_Circ_Width_075w,33.07,31.32,31.25,31.55,31.71,31.55,U01w_UnderBust_Circ_Width_075w,33.07,31.32,31.26,31.07,31.59,31.32,U01w_UnderBust_Circ_Width_075w,-0.23
